SEASON,EPISODE,TITLE,Guest Painter,Alizarin Crimson,Black Gesso,Bright Red,Burnt Umber,Cadmium Yellow,Dark Sienna,Indian Red,Indian Yellow,Liquid Black,Liquid Clear,Midnight Black,Phtalo Blue,Phtalo Green,Prussian Blue,Sap Green,Titanium White,Van Dyke Brown,Yellow Ochre,IMAGE,YOUTUBE
1,1,A Walk in the Woods,0,1,0,1,0,1,0,0,0,0,0,0,0,1,1,1,1,1,0,http://twoinchbrush.com/images/painting282.png,https://youtu.be/oh5p5f5_-7A
1,2,Mt. McKinley,0,1,0,1,0,1,0,0,0,0,0,0,0,1,1,1,1,1,0,http://twoinchbrush.com/images/painting283.png,https://youtu.be/RInDWhYceLU
1,3,Ebony Sunset,0,1,1,1,0,1,0,0,0,0,0,0,0,1,1,1,1,1,0,http://twoinchbrush.com/images/painting284.png,https://youtu.be/UOziR7PoVco
1,4,Winter Mist,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,http://twoinchbrush.com/images/painting285.png,https://youtu.be/0pwoixRikn4
1,5,Quiet Stream,0,1,0,1,0,1,0,0,0,0,0,0,0,1,1,1,1,1,0,http://twoinchbrush.com/images/painting286.png,https://youtu.be/DFSIQNjKRfk
1,6,Winter Moon,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,http://twoinchbrush.com/images/painting287.png,https://youtu.be/loAzRUzx1wI
1,7,Autumn Mountain,0,1,0,1,0,1,0,0,0,0,0,0,0,1,1,1,1,1,0,http://twoinchbrush.com/images/painting288.png,https://youtu.be/sDdpc8uisD0
1,8,Peaceful Valley,0,1,0,1,0,1,0,0,0,0,0,0,0,1,1,1,1,1,0,http://twoinchbrush.com/images/painting289.png,https://youtu.be/kQlFwTOkYzg
1,9,Seascape ,0,1,0,1,0,1,0,0,0,0,0,0,0,1,1,1,1,1,0,http://twoinchbrush.com/images/painting290.png,https://youtu.be/QxcS7p1VHyQ
1,10,Mountain Lake ,0,1,0,1,0,1,0,0,0,0,0,0,0,1,1,1,1,1,0,http://twoinchbrush.com/images/painting291.png,https://youtu.be/wDnLlywAL5I
