ELEMENT,CATEGORY
APPLE_FRAME,Frames
AURORA_BOREALIS,Weather
BARN,Structures
BEACH,Landscape
BOAT,Structures
BRIDGE,Structures
BUILDING,Structures
BUSHES,Plants
CABIN,Structures
CACTUS,Plants
CIRCLE_FRAME,Frames
CIRRUS,Weather
CLIFF,Landscape
CLOUDS,Weather
CONIFER,Plants
CUMULUS,Weather
DECIDUOUS,Plants
DIANE_ANDRE,Guests
DOCK,Structures
DOUBLE_OVAL_FRAME,Frames
FARM,Structures
FENCE,Structures
FIRE,Weather
FLORIDA_FRAME,Frames
FLOWERS,Plants
FOG,Weather
FRAMED,Frames
GRASS,Plants
GUEST,Guests
HALF_CIRCLE_FRAME,Frames
HALF_OVAL_FRAME,Frames
HILLS,Landscape
LAKE,Landscape
LAKES,Landscape
LIGHTHOUSE,Structures
MILL,Structures
MOON,Weather
MOUNTAIN,Landscape
MOUNTAINS,Landscape
NIGHT,Weather
OCEAN,Landscape
OVAL_FRAME,Frames
PALM_TREES,Plants
PATH,Landscape
PERSON,Humans
PORTRAIT,Humans
RECTANGLE_3D_FRAME,Frames
RECTANGULAR_FRAME,Frames
RIVER,Landscape
ROCKS,Landscape
SEASHELL_FRAME,Frames
SNOW,Weather
SNOWY_MOUNTAIN,Landscape
SPLIT_FRAME,Frames
STEVE_ROSS,Guests
STRUCTURE,Structures
SUN,Weather
TOMB_FRAME,Frames
TREE,Plants
TREES,Plants
TRIPLE_FRAME,Frames
WATERFALL,Landscape
WAVES,Landscape
WINDMILL,Structures
WINDOW_FRAME,Frames
WINTER,Weather
WOOD_FRAMED,Frames
