SEASON,EPISODE,TITLE,GUEST_PAINTER,ALIZARIN_CRIMSON,BLACK_GESSO,BRIGHT_RED,BURNT_UMBER,CADMIUM_YELLOW,DARK_SIENNA,INDIAN_RED,INDIAN_YELLOW,LIQUID_BLACK,LIQUID_CLEAR,MIDNIGHT_BLACK ,PHTHALO_BLUE,PHTHALO_GREEN ,PRUSSIAN_BLUE,SAP_GREEN,TITANIUM_WHITE,VAN_DYKE_BROWN,YELLOW_OCHRE,IMAGE,YOUTUBE,APPLE_FRAME,AURORA_BOREALIS,BARN,BEACH,BOAT,BRIDGE,BUILDING,BUSHES,CABIN,CACTUS,CIRCLE_FRAME,CIRRUS,CLIFF,CLOUDS,CONIFER,CUMULUS,DECIDUOUS,DIANE_ANDRE,DOCK,DOUBLE_OVAL_FRAME,FARM,FENCE,FIRE,FLORIDA_FRAME,FLOWERS,FOG,FRAMED,GRASS,GUEST,HALF_CIRCLE_FRAME,HALF_OVAL_FRAME,HILLS,LAKE,LAKES,LIGHTHOUSE,MILL,MOON,MOUNTAIN,MOUNTAINS,NIGHT,OCEAN,OVAL_FRAME,PALM_TREES,PATH,PERSON,PORTRAIT,RECTANGLE_3D_FRAME,RECTANGULAR_FRAME,RIVER,ROCKS,SEASHELL_FRAME,SNOW,SNOWY_MOUNTAIN,SPLIT_FRAME,STEVE_ROSS,STRUCTURE,SUN,TOMB_FRAME,TREE,TREES,TRIPLE_FRAME,WATERFALL,WAVES,WINDMILL,WINDOW_FRAME,WINTER,WOOD_FRAMED
1,1,A Walk in the Woods,0,1,0,1,0,1,0,0,0,0,0,0,0,1,1,1,1,1,0,http://twoinchbrush.com/images/painting282.png,https://youtu.be/oh5p5f5_-7A,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
1,2,Mt. McKinley,0,1,0,1,0,1,0,0,0,0,0,0,0,1,1,1,1,1,0,http://twoinchbrush.com/images/painting283.png,https://youtu.be/RInDWhYceLU,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0
1,3,Ebony Sunset,0,1,1,1,0,1,0,0,0,0,0,0,0,1,1,1,1,1,0,http://twoinchbrush.com/images/painting284.png,https://youtu.be/UOziR7PoVco,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,1,0
1,4,Winter Mist,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,http://twoinchbrush.com/images/painting285.png,https://youtu.be/0pwoixRikn4,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0
1,5,Quiet Stream,0,1,0,1,0,1,0,0,0,0,0,0,0,1,1,1,1,1,0,http://twoinchbrush.com/images/painting286.png,https://youtu.be/DFSIQNjKRfk,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
1,6,Winter Moon,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,http://twoinchbrush.com/images/painting287.png,https://youtu.be/loAzRUzx1wI,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,1,0,0,0,0,0,1,0
1,7,Autumn Mountain,0,1,0,1,0,1,0,0,0,0,0,0,0,1,1,1,1,1,0,http://twoinchbrush.com/images/painting288.png,https://youtu.be/sDdpc8uisD0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0
1,8,Peaceful Valley,0,1,0,1,0,1,0,0,0,0,0,0,0,1,1,1,1,1,0,http://twoinchbrush.com/images/painting289.png,https://youtu.be/kQlFwTOkYzg,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
1,9,Seascape ,0,1,0,1,0,1,0,0,0,0,0,0,0,1,1,1,1,1,0,http://twoinchbrush.com/images/painting290.png,https://youtu.be/QxcS7p1VHyQ,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,10,Mountain Lake ,0,1,0,1,0,1,0,0,0,0,0,0,0,1,1,1,1,1,0,http://twoinchbrush.com/images/painting291.png,https://youtu.be/wDnLlywAL5I,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
1,11,Winter Glow,0,1,0,1,0,1,0,0,0,0,0,0,0,1,1,1,1,1,0,http://twoinchbrush.com/images/painting292.png,https://youtu.be/Q03YvknOVe0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
1,12,Snow Fall,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,http://twoinchbrush.com/images/painting293.png,https://youtu.be/4E35-8x_y04,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0
1,13,Final Reflections ,0,1,0,1,0,1,0,0,0,0,0,0,0,1,1,1,1,1,0,http://twoinchbrush.com/images/painting294.png,https://youtu.be/IEQWfszfRlA,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0
2,1,Meadow Lake,0,1,0,1,1,1,0,0,1,0,0,0,1,1,1,1,1,1,1,http://twoinchbrush.com/images/painting269.png,https://youtu.be/GARWowi0QXI,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0
2,2,Winter Sun ,0,1,0,1,1,1,0,0,1,0,0,0,1,1,1,1,1,1,1,http://twoinchbrush.com/images/painting270.png,https://youtu.be/VPfYRj4DDco,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0
2,3,Ebony Sea,0,1,1,1,1,1,0,0,1,0,0,0,1,1,1,1,1,1,1,http://twoinchbrush.com/images/painting271.png,https://youtu.be/aOJsKNzO3i8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0
